Taxon - Genus,Taxon - Species,CatNum,Locality Name,Field Coll Latitude from,Field Coll Longitude from,Field Coll Altitude from,Field Coll Date,Sex,Field Coll Habitat,Field Coll Specimen Category
Hydromys,chrysogaster,J3784,"Dinner Ck, Ravenshoe (now Charmilan Ck)",17° 42' South,145° 31' East,883.9m,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J4337,"Brisbane, Toowong",27° 29' South,153° East,,,Female,,Skin
Hydromys,chrysogaster,J4672,"Amity Pt, N Stradbroke Is",27° 24' South,153° 26' East,,,Male,,
Hydromys,chrysogaster,J5275,Palm Is,18° 40' South,146° 35' East,,,,,Spirit
Hydromys,chrysogaster,J5276,Palm Is,18° 40' South,146° 35' East,,,,,Spirit
Hydromys,chrysogaster,J5841,"Brisbane, Fish Wharf",27° 28' South,153° 1' East,,,,,Spirit
Hydromys,chrysogaster,J5904,Atherton,17° 16' South,145° 29' East,,,,,Spirit
Hydromys,chrysogaster,J5905,Atherton,17° 16' South,145° 29' East,,,,,"Skull, Skin"
Hydromys,chrysogaster,J6378,Mulgildie,24° 58' South,151° 7' East,,,,,Spirit
Hydromys,chrysogaster,J6505,Coen,13° 57' South,143° 12' East,,,,,"Skull, Skin"
Hydromys,chrysogaster,J6624,"Mulgowie, via Laidley",27° 44' South,152° 22' East,,,,,Skull
Hydromys,chrysogaster,J6731,"Brisbane R, Chelmer",27° 31' South,152° 59' East,,,,,Skull
Hydromys,chrysogaster,J7409,Imbil,26° 28' South,152° 41' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J7410,Imbil,26° 28' South,152° 41' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J7550,North Pine R,27° 15' South,152° 54' East,,,Female,,Display mount
Hydromys,chrysogaster,J7578,North Pine R,27° 15' South,152° 54' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J7889,"Brisbane, Indooroopilly",27° 30' South,152° 59' East,,,Male,,"Skull, Display mount"
Hydromys,chrysogaster,J9251,"Gowrie Ck, Oakey",27° 29' South,151° 48' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J9252,"Gowrie Ck, Oakey",27° 29' South,151° 48' East,,May-56,Male,,Skin
Hydromys,chrysogaster,J9253,"Gowrie Ck, Oakey",27° 29' South,151° 48' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J9254,"Gowrie Ck, Oakey",27° 29' South,151° 48' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9391,"Euramoo Ck, Danbulla, NE Atherton",17° 9' South,145° 37' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9456,"Peach Ck, 26km NE Coen",13° 45' South,143° 5' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J9457,"Coen R, The Bend",13° 55' South,143° 12' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9833,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9834,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9835,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9944,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9945,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9946,Aramara Ck,25° 37' South,152° 18' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9947,Aramara Ck,25° 37' South,152° 18' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J9960,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J9961,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J10053,"Bugasia, near Mackay",21° 2' South,149° 10' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J10054,"Bucasia, nr Mackay",21° 2' South,149° 10' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J10055,"Bucasia, nr Mackay",21° 2' South,149° 10' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J10127,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J10128,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J10129,"Alligator Ck, 24km SE Townsville",19° 23' South,146° 57' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J10130,Mt Spec,18° 57' South,146° 11' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J10195,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,Male,,Spirit
Hydromys,chrysogaster,J10196,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,,,,Spirit
Hydromys,chrysogaster,J10368,"Dent Is, nr Mackay",20° 21' South,148° 56' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J10938,Proserpine,20° 24' South,148° 35' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J11137,Proserpine,20° 24' South,148° 35' East,,,Male,,"Skull, Display mount"
Hydromys,chrysogaster,J14059,"Scrubby Ck, via Atherton",16° 42' South,145° 29' East,,11-Aug-66,Female,,"Skull, Skin"
Hydromys,chrysogaster,J14060,"Scrubby Ck, via Atherton",17° 19' South,145° 27' East,,11-Aug-66,Male,,"Skull, Skin"
Hydromys,chrysogaster,J15159,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15160,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15161,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15162,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15163,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15164,Proserpine,20° 24' South,148° 35' East,,2-Sep-57,,,Spirit
Hydromys,chrysogaster,J15165,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15166,"Murphys Swamp, Echuca",36° 8' South,144° 45' East,,13-Jul-57,,,Spirit
Hydromys,chrysogaster,J15330,Southport,27° 58' South,153° 25' East,,20-Jun-68,Male,,"Skull, Skin"
Hydromys,chrysogaster,J16805,"Dawson R, Yebna, via Taroom",25° 41' South,149° 11' East,,27-Sep-68,Male,,"Skull, Skin"
Hydromys,chrysogaster,J16824,"Brisbane, Upper Brookfield",27° 29' South,152° 52' East,,10-Jul-68,Female,,"Skull, Display mount"
Hydromys,chrysogaster,J16974,"Cowan Cowan, Moreton Is",27° 8' South,153° 22' East,,8-May-69,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17590,Atherton,17° 16' South,145° 28' East,,21-Aug-69,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17591,Warwick?,28° 13' South,152° 2' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J17592,Townsville,19° 16' South,146° 48' East,,,Female,,"Skull, Skin"
Hydromys,chrysogaster,J17593,Julatten,16° 36' South,145° 20' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17594,"Brisbane, Mt Gravatt",27° 33' South,153° 4' East,,6-Jan-69,Female,,"Skull, Skin"
Hydromys,chrysogaster,J17595,Warwick,28° 13' South,152° 2' East,,,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17596,Julatten,16° 36' South,145° 20' East,,19-Aug-69,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17597,"Breakwater, Townsville",19° 15' South,146° 49' East,,2-Aug-69,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17598,"Breakwater, Townsville",19° 15' South,146° 49' East,,6-Aug-69,Male,,"Skull, Skin"
Hydromys,chrysogaster,J17599,Atherton,17° 16' South,145° 28' East,,21-Aug-69,,,"Skull, Skin"
Hydromys,chrysogaster,J17600,Atherton,17° 16' South,145° 28' East,,21-Aug-69,Female,,"Skull, Skin"
Hydromys,chrysogaster,J17982,"Russell R, Bellenden Ker",17° 16' South,145° 56' East,,,,,Skin
Hydromys,chrysogaster,J19065,"Rifle Ck, 3.2km N Mt Molloy",16° 39' South,145° 19' East,,Sep-69,,,"Skull, Skin"
Hydromys,chrysogaster,J19066,"Rifle Ck, 3.2km N Mt Molloy",16° 39' South,145° 19' East,,Sep-69,,,"Skull, Skin"
Hydromys,chrysogaster,J19320,"Brisbane, Upper Brookfield",27° 29' South,152° 52' East,,25-Jul-67,,,Skull
Hydromys,chrysogaster,J19321,"Brisbane, Upper Brookfield",27° 29' South,152° 52' East,,25-Jul-67,,,Skull
Hydromys,chrysogaster,J19770,Mackay,21° 9' South,149° 11' East,,20-Dec-55,,,Spirit
Hydromys,chrysogaster,J20029,"Mt Molloy, 4.8km N, Bettels Lagoon",16° 38' South,145° 20' East,,11-Oct-69,Female,,"Skull, Skin"
Hydromys,chrysogaster,J20674,Mt Molloy to Rifle Ck,16° 40' South,145° 20' East,,Nov-70,,,Skull
Hydromys,chrysogaster,J21273,"Crystal Ck, Mt Spec",18° 56' South,146° 19' East,,Aug-70,,,"Skull, Skin"
Hydromys,chrysogaster,J22077,"Nth Stradbroke Is, One Mile, Dunwich",27° 30' South,153° 24' East,,6-May-71,Female,,"Skull, Skin"
Hydromys,chrysogaster,J22113,"Nth Stradbroke Is, 8.8km along Pt Lookout-Amity Rd","27° 27' 13"" South","153° 26' 40"" East",,14-Jan-72,Male,,"Skull, Skin"
Hydromys,chrysogaster,J22147,Cooktown,15° 29' South,145° 15' East,,Jan-72,Male,,Spirit
Hydromys,chrysogaster,J22924,"Rocky R area, Silver Plains Ck",13° 49' South,143° 28' East,,13-Aug-72,,,Spirit
Hydromys,chrysogaster,J22925,"Rocky River area, Silver Plains Ck",13° 49' South,143° 28' East,,13-Aug-72,,,Spirit
Hydromys,chrysogaster,J22940,Longreach,23° 27' South,144° 15' East,,,,,"Spirit, Skull"
Hydromys,chrysogaster,J23022,"Iron Ra Airstrip, 8km N",12° 43' South,143° 19' East,,23-Aug-72,Female,,Spirit
Hydromys,chrysogaster,J23037,"Tangalooma, 1.6km N, nr ck",27° 11' South,153° 22' East,,27-Mar-73,Female,,Skull
Hydromys,chrysogaster,J23627,Mt Glorious,27° 20' South,152° 46' East,,10-May-73,,,Spirit
Hydromys,chrysogaster,JM214,Mt Glorious (probably),,,,,,,Spirit
Hydromys,chrysogaster,JM236,Mt Glorious (probably),,,,27-Jun-69,Male,,Spirit
Hydromys,chrysogaster,JM242,Mt Glorious (probably),,,,27-Jun-69,Male,,Spirit
Hydromys,chrysogaster,JM359,"Rockwood, Chinchilla",26° 56' South,150° 22' East,300m,5-May-72,,,"Skull, Skin"
Hydromys,chrysogaster,JM501,,,,,,,,Skin
Hydromys,chrysogaster,JM555,,,,,,,,Skin
Hydromys,chrysogaster,JM556,,,,,,,,Skin
Hydromys,chrysogaster,JM647,,,,,,,,Spirit
Hydromys,chrysogaster,JM697,Russell R,17° 22' South,145° 58' East,,15-Nov-74,Female,,Spirit
Hydromys,chrysogaster,JM698,"Archer R, 71km N Coen",13° 24' South,142° 53' East,,29-Oct-74,Male,,Spirit
Hydromys,chrysogaster,JM699,"Mazlin Ck, Atherton Tbld",17° 15' South,145° 28' East,,24-Nov-74,Female,,Spirit
Hydromys,chrysogaster,JM704,Kurrimine Beach,17° 47' South,146° 5' East,,4-Dec-74,Female,,Spirit
Hydromys,chrysogaster,JM740,"Conondale Ra, nr Booloumba Ck",26° 39' South,152° 39' East,,17-Aug-74,,,Skeletal parts
Hydromys,chrysogaster,JM750,"Broken R, Eungella NP","21° 10' 30"" South","148° 30' 30"" East",,5-Feb-75,,,Spirit
Hydromys,chrysogaster,JM773,"Nth Tamborine Rd, The Falls",27° 56' South,153° 11' East,,20-Jul-73,,,Skin
Hydromys,chrysogaster,JM842,"Innisfail, 32km S",17° 49' South,146° East,,24-Dec-74,Male,,Spirit
Hydromys,chrysogaster,JM843,"Innisfail, 32km S",17° 49' South,146° East,,4-Dec-74,Female,,Spirit
Hydromys,chrysogaster,JM844,"Innisfail, 32km S",17° 49' South,146° East,,,Female,,Spirit
Hydromys,chrysogaster,JM866,"Mazlin Ck, Atherton Tbld",17° 15' South,145° 28' East,,22-Nov-74,Male,,Spirit
Hydromys,chrysogaster,JM870,"Mazlin Ck, Atherton Tbld",17° 15' South,145° 28' East,,22-Nov-74,Male,,Spirit
Hydromys,chrysogaster,JM1052,"Wakes Lagoon, Adavale",25° 36' South,144° 50' East,,26-Sep-72,Female,,Spirit
Hydromys,chrysogaster,JM1120,Homevale,21° 27' South,148° 32' East,,6-Apr-75,,,Spirit
Hydromys,chrysogaster,JM1150,Crediton,21° 13' South,148° 34' East,,18-Apr-75,Female,,Spirit
Hydromys,chrysogaster,JM1153,Brandy Ck,20° 21' South,148° 43' East,,25-Apr-75,Female,,Spirit
Hydromys,chrysogaster,JM1219,Bulburin SF,24° 31' South,151° 29' East,,17-Mar-75,Female,,Spirit
Hydromys,chrysogaster,JM1295,"Cromarty, S of Townsville",19° 28' South,147° 3' East,,7-Jul-72,Female,,Spirit
Hydromys,chrysogaster,JM1296,"Lolworth Ck, Toomba Stn, via Charters Towers",20° 2' South,145° 32' East,,6-May-72,Male,,Spirit
Hydromys,chrysogaster,JM1297,"Kirknie, via Ayr",19° 57' South,147° 19' East,,9-May-72,Male,,Spirit
Hydromys,chrysogaster,JM1349,Proserpine,20° 24' South,148° 35' East,,01 Jan 1975-31 Dec 1975,,,Skeletal parts
Hydromys,chrysogaster,JM1761,"Coldwater, 24km W Ingham, prop. of A. Mackee",18° 36' South,146° 3' East,50m,7-Jul-76,Female,,Spirit
Hydromys,chrysogaster,JM1835,"Ravenshoe, 20km S, Ebony Rd",17° 44' South,145° 32' East,850m,18-Jul-76,Female,,Spirit
Hydromys,chrysogaster,JM2081,,,,,,Male,,
Hydromys,chrysogaster,JM2097,,,,,,Male,,Spirit
Hydromys,chrysogaster,JM2232,"Durham Downs Stn, channel of Cooper Ck",27° 4' South,141° 54' East,,25-Oct-75,Female,,Spirit
Hydromys,chrysogaster,JM2363,Fraser Is,25° 28' South,153° 3' East,,21-Nov-77,,,Spirit
Hydromys,chrysogaster,JM2481,"Attack Ck, 45km N Coen","13° 31' 37"" South","143° 13' 40"" East",130m,25-Aug-78,Female,,Spirit
Hydromys,chrysogaster,JM2794,"Fossilbrook, nr Mt Surprise",17° 50' South,144° 21' East,,19-Sep-77,,,Spirit
Hydromys,chrysogaster,JM2886,"Kirrama Stn, via Cardwell",18° 10' South,145° 43' East,,11-Jan-73,Male,,Spirit
Hydromys,chrysogaster,JM3358,Kondalilla NP,"26° 40' 30"" South","152° 52' 30"" East",,30-Aug-74,Female,,Spirit
Hydromys,chrysogaster,JM3359,Bunya,26° 53' South,151° 37' East,,24-Jan-74,Female,,Spirit
Hydromys,chrysogaster,JM3362,Baryulah Outstation,27° 34' South,141° 40' East,,15-Aug-75,Male,,Spirit
Hydromys,chrysogaster,JM3371,Old Tickalara,28° 39' South,142° 12' East,,28-Jun-75,Male,,Spirit
Hydromys,chrysogaster,JM3372,Old Tickalara,28° 39' South,142° 12' East,,28-Jun-75,Male,,Spirit
Hydromys,chrysogaster,JM3373,Old Tickalara,28° 39' South,142° 12' East,,28-Jun-75,Male,,Spirit
Hydromys,chrysogaster,JM3374,Baryulah Outstation,27° 34' South,141° 40' East,,14-Aug-75,Female,,Spirit
Hydromys,chrysogaster,JM3621,"Beagle airstrip, 25m N Aurukun, 30km NE",13° 1' South,141° 48' East,,19-Nov-81,Male,,Spirit
Hydromys,chrysogaster,JM3782,Barroonda-Dawson R Crossing,25° 43' South,149° 21' East,240m,3-Nov-79,Female,,Spirit
Hydromys,chrysogaster,JM3792,"Stuart R, Townsville",19° 21' South,146° 50' East,,Jun-82,,,Spirit
Hydromys,chrysogaster,JM3913,"Brisbane, North Quay",27° 28' South,153° 1' East,,20-Jun-80,,,Spirit
Hydromys,chrysogaster,JM3936,Airley Beach rubbish tip,20° 16' South,148° 43' East,,Nov-80,,,Spirit
Hydromys,chrysogaster,JM3958,"Crofton Ck, Proserpine to Airley Beach Rd",20° 20' South,148° 38' East,,4-Feb-81,,,Spirit
Hydromys,chrysogaster,JM3959,"Ravenshoe 20km S, Ebony Rd",17° 44' South,145° 33' East,760m,22-Sep-82,,,Spirit
Hydromys,chrysogaster,JM3991,,,,,,,,
Hydromys,chrysogaster,JM4024,"Cullen Pt, ca.5km SW","11° 58' 32"" South","141° 51' 32"" East",0m,11-Sep-80,,,Spirit
Hydromys,chrysogaster,JM4025,"Batavia Landing, 24km S Cullen Pt","12° 10' 50"" South","141° 53' 40"" East",0m,14-Sep-80,,,Spirit
Hydromys,chrysogaster,JM4026,"Trunding Ck, Weipa","12° 38' 41"" South","141° 52' 29"" East",0m,10-Oct-80,,,Spirit
Hydromys,chrysogaster,JM4027,York Downs,"12° 45' 11"" South","142° 18' 36"" East",20m,17-May-81,,,Spirit
Hydromys,chrysogaster,JM4028,"Winda Winda Ck, 16.5km SSW Hey Pt","12° 52' 15"" South","141° 49' 49"" East",15m,29-May-81,,,Spirit
Hydromys,chrysogaster,JM4029,"Vrilya Point, 1.5km SSE","11° 14' 32"" South","142° 7' 20"" East",0m,22-Aug-81,,,Spirit
Hydromys,chrysogaster,JM5029,Christmas Ck,19° 3' South,145° 13' East,,9-May-74,Male,,Spirit
Hydromys,chrysogaster,JM7122,Dunwich,27° 30' South,153° 24' East,,1989,,,Skeletal parts
Hydromys,chrysogaster,JM7326,"Bellenden Ker summit, TV station",17° 15' South,145° 51' East,,20-Oct-74,,,Spirit
Hydromys,chrysogaster,JM7346,Sugar Cane Ck Tully to Mission Beach Rd,17° 56' South,146° 1' East,10m,22-Sep-73,,,Spirit
Hydromys,chrysogaster,JM7389,Chinchilla Rifle Range,26° 44' South,150° 38' East,,,,,Spirit
Hydromys,chrysogaster,JM7390,,,,,,,,Spirit
Hydromys,chrysogaster,JM7919,"Kilcoy, Sheep Stn Ck",26° 57' South,152° 34' East,,16-Jun-75,,,Spirit
Hydromys,chrysogaster,JM7920,"Palen Ck, nr Mt Lindesay",28° 14' South,152° 51' East,,30-Jun-75,,,Spirit
Hydromys,chrysogaster,JM8113,Townsville,19° 16' South,146° 48' East,,12-Jun-90,Male,,Skeletal parts
Hydromys,chrysogaster,JM8510,Cairns Central Swamp,16° 55' South,145° 45' East,,15-Sep-90,Male,,Spirit
Hydromys,chrysogaster,JM8511,Cairns Central Swamp,16° 55' South,145° 45' East,,15-Sep-90,Female,,Spirit
Hydromys,chrysogaster,JM8552,"Ormiston, Hilliard Ck, 22 Oak St",27° 31' South,153° 15' East,,4-Sep-90,Male,,Spirit
Hydromys,chrysogaster,JM8576,"The Glebe Stn, 48km E Taroom on Dawson R",25° 29' South,149° 48' East,,1-Nov-90,,,Spirit
Hydromys,chrysogaster,JM8605,,,,,26-Feb-91,,,Skeletal parts
Hydromys,chrysogaster,JM8632,"Killara, MS 660, via Proston",26° 10' South,151° 36' East,,01 May 1985-31 May 1985,Male,,"Skeletal parts, Skin"
Hydromys,chrysogaster,JM8677,N Stradbroke Is,27° 35' South,153° 27' East,,01 Aug 1991-31 Aug 1991,,,Spirit
Hydromys,chrysogaster,JM9335,"Rex Ra Rd, Mossman-Julatten Rd",16° 23' South,145° 22' East,,10-Aug-88,Male,,Skull
Hydromys,chrysogaster,JM9340,Babinda,17° 21' South,145° 55' East,,1991,,,Skull
Hydromys,chrysogaster,JM9347,Nelia Ponds,20° 34' South,142° 12' East,,Dec-91,Male,,Spirit
Hydromys,chrysogaster,JM9407,"Brisbane, Tingalpa, cnr Wondall Rd & Manly Rd",27° 31' South,153° 9' East,,23-Jul-92,Male,,Spirit
Hydromys,chrysogaster,JM9469,"Cedar Ck, via Samford",27° 19' South,152° 47' East,,Aug-92,Male,,Spirit
Hydromys,chrysogaster,JM9897,Vine Ck,20° 15' South,148° 31' East,,4-Jun-92,,,Spirit
Hydromys,chrysogaster,JM9898,"Eungella NP, Tree Fern Ck",21° 4' South,148° 38' East,,3-Feb-93,,,Spirit
Hydromys,chrysogaster,JM10527,"Hilliards Ck, Cleveland","27° 33' 10"" South","153° 14' 15"" East",,3-Mar-94,Male,,Spirit
Hydromys,chrysogaster,JM10830,"Murwillumbah, nr",28° 20' South,153° 24' East,,20-Oct-93,,,Spirit
Hydromys,chrysogaster,JM11127,"Cuddapan Station, Birdsville",25° 39' South,141° 30' East,,01 Jan 1995-31 Dec 1995,,,Skin
Hydromys,chrysogaster,JM11165,Tallebudgera R,28° 10' South,153° 23' East,,10-Aug-95,,,Spirit
Hydromys,chrysogaster,JM11302,"Rocky River, 8km SW of mouth, McIlwraith","13° 48' 26"" South","143° 28' 14"" East",20m,18-Jun-79,,,Spirit
Hydromys,chrysogaster,JM11592,"Hungerford, Paroo R",29° South,144° 24' East,,25-Apr-96,,,"Skull, Skin"
Hydromys,chrysogaster,JM12162,St Helena,27° 24' South,153° 14' East,,18-Sep-81,,,Skull
Hydromys,chrysogaster,JM12714,"Yabulu/Saunders Bch, 20km NE Townsville","19° 9' 48"" South","146° 36' 12"" East",,6-Oct-98,Female,,Spirit
Hydromys,chrysogaster,JM12829,Eildon Reservoir,37° 5' South,146° 2' East,,8-Mar-74,Male,,Spirit
Hydromys,chrysogaster,JM12983,Awoonga Dam/Calliope R Area on Larcom Ck,"23° 52' 18"" South","151° 6' 4"" East",,11-Apr-99,,,Spirit
Hydromys,chrysogaster,JM13470,Whitsunday Is,"20° 15' 30"" South","148° 56' 30"" East",0m,22-May-85,,,Spirit
Hydromys,chrysogaster,JM13471,Haslewood I,"20° 17' 30"" South","149° 5' 30"" East",0m,9-May-85,Female,,Spirit
Hydromys,chrysogaster,JM13475,Tomahawk Ck,23° 24' South,147° 23' East,,19-Dec-75,,,Spirit
Hydromys,chrysogaster,JM14284,"Whitehaven Beach swamp, Whitsunday Island",20° 15' South,149° 2' East,,,,,"Scat, Owl Pellet, Ambergris"
Hydromys,chrysogaster,JM14677,Shiptons Flat,15° 48' South,145° 15' East,,3-Sep-96,Female,,Spirit
Hydromys,chrysogaster,JM14794,"Chelmer Reach, Indooroopilly Island",27° 31' South,152° 59' East,,22-May-95,,,Skeletal parts
Hydromys,chrysogaster,JM15134,Recklaw Park near belah patch at Tomahawk Creek and creek nearby,23° 20' South,147° 28' East,,19-Dec-75,Female,,Skull
Hydromys,chrysogaster,JM15138,"Codenwarra, near mens quarters",23° 29' South,148° 15' East,,,Female,,Skull
Leggadina,,JM4954,Hillgrove,19° 38' South,145° 43' East,,20-Apr-80,,,"Skull, Skin"
Leggadina,forresti,J5113,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Skull
Leggadina,forresti,J5114,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,Female,,
Leggadina,forresti,J5940,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,"Skull, Skin"
Leggadina,forresti,J5945,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J5987,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,Male,,"Skull, Skin"
Leggadina,forresti,J5988,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J5989,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J5990,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J5991,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J5992,"Barcarolle, Longreach",24° 46' South,143° 4' East,,,,,Spirit
Leggadina,forresti,J14755,Boulia area,22° 55' South,139° 54' East,,15-Feb-68,Male,,"Skull, Skin"
Leggadina,forresti,J21902,"Durrie Stn, Diamantina R, 96.5km E Birdsville",25° 39' South,140° 14' East,,,,,Spirit
Leggadina,forresti,JM1081,"Sandringham Stn, 55km NW Bedourie",24° 3' South,139° 4' East,93m,Sep-69,,,Skull
