Name,Hyd_chr2,Leg_for2,Pse_gra2,Zyz_arg,Xer_myo,Uro_cau,Rat_rat,Rat_fus,Pog_mol,Not_ale,Mus_mus,Mes_gou,Mel_bur,Mas_fus,Lep_con,Leg_for,Pse_her,Pse_gra,Pse_del,Hyd_chr
Z Zygo ant edge top DCUR L 1,-34.13011169,-31.46246338,-34.73325806,-32.39673767,-28.7500061,-41.16670227,-30.1592865,-25.06018677,-27.50754395,-34.91407471,-30.37371216,-24.92556305,-22.93083496,-31.63295593,-38.47247925,-31.42941589,-34.29552917,-34.29552917,-18.95496826,-33.89850769
X Zygo ant edge top DCUR 4,-4.179109192,0.837006664,-8.797374725,-12.03085098,7.577049255,-13.65194855,-7.00218811,3.789268875,-4.779052734,0.526874208,-11.3722374,9.060671997,-2.646551132,-7.125601959,4.039880753,0.81105814,-8.801727295,-8.801727295,-5.651106644,-4.878538513
Y Zygo ant edge top DCUR 4,-11.71697006,-10.45548782,-13.95997314,-14.47913666,-10.1692009,-26.91165771,-8.129680634,-7.196755219,-16.65446014,-4.574029922,-4.297516251,-23.22324982,-11.99527588,-8.781848145,-9.725115204,-10.57732086,-13.80600433,-13.80600433,-17.66836548,-10.32838669
Z Zygo ant edge top DCUR 4,-34.51710815,-33.15557251,-34.42355042,-33.75409241,-30.65957336,-31.43750916,-29.79821777,-27.70903015,-27.49881592,-35.07031555,-30.42543945,-37.96308594,-21.93745728,-26.6537323,-37.10991211,-33.21279297,-34.39298401,-34.39298401,-17.80216217,-35.44329834
X Zygo ant edge top DCUR 3,-3.365947723,1.426049042,-9.261005402,-12.75559158,8.117366028,-14.02733459,-7.048082733,4.298611069,-5.391067886,1.239798164,-11.48691711,9.41149826,-2.778576469,-6.060488892,3.906181335,1.360032272,-9.412014771,-9.412014771,-5.882271194,-4.601277924
Y Zygo ant edge top DCUR 3,-10.54384384,-10.30621719,-13.15039368,-14.44841766,-9.850266266,-26.4895874,-7.325774384,-7.383489227,-16.41452789,-4.715279007,-3.92474556,-24.58661346,-11.46773682,-8.395897675,-8.551895142,-10.43411331,-13.01949005,-13.01949005,-17.25288086,-9.76882019
Z Zygo ant edge top DCUR 3,-35.27094727,-33.1741333,-34.71351624,-33.44363098,-30.74897461,-32.96401978,-30.17178955,-27.87813721,-27.51246338,-35.22679138,-30.56157837,-36.02685547,-22.18197937,-27.33111267,-37.74419556,-33.16495361,-34.64123535,-34.64123535,-18.04828339,-35.80115051
X Zygo ant edge top DCUR 2,-3.804815292,1.987383842,-10.3580574,-13.52785645,8.54528656,-14.84660034,-7.641963196,5.322245789,-6.258125305,1.969000053,-11.8081192,11.3037178,-3.326955795,-4.709806824,3.245409012,1.983278465,-10.54802322,-10.54802322,-6.38527832,-4.661927795
Y Zygo ant edge top DCUR 2,-9.227629089,-9.697898102,-12.31535721,-14.50780182,-9.193920898,-25.52443848,-6.256855774,-6.851159668,-16.21879883,-4.324888229,-3.34384613,-25.42503662,-10.79291,-8.527763367,-7.026567841,-9.888994598,-12.17427139,-12.17427139,-16.73499451,-8.915856934
Z Zygo ant edge top DCUR 2,-36.36210938,-33.39020691,-35.01251526,-32.79777222,-30.91280212,-34.53478394,-30.57875061,-28.1568573,-27.34393921,-35.47591553,-30.67057495,-33.87076721,-22.56554413,-28.30968018,-38.558255,-33.35587158,-34.78067627,-34.78067627,-18.19022522,-36.52384338
X Zygo ant edge top DCUR 1,-4.919937515,2.427227592,-11.78175735,-14.22199554,8.513343048,-16.18956451,-8.712026215,6.638332367,-7.033479309,3.047130585,-12.45577087,13.859552,-4.214434052,-3.332567215,2.170293427,2.304687309,-11.90883255,-11.90883255,-6.954894257,-5.26451416
Y Zygo ant edge top DCUR 1,-7.778304291,-8.936772156,-11.47749939,-14.77750244,-8.42196579,-24.15184784,-5.255669403,-5.719255829,-16.23040619,-4.155388641,-2.73153553,-25.67154236,-10.0424324,-8.795212555,-5.255503464,-8.996896362,-11.37847214,-11.37847214,-16.15840149,-7.829924011
Z Zygo ant edge top DCUR 1,-37.54796448,-33.67929382,-35.04607239,-32.08507385,-31.21089783,-35.90314941,-30.80560608,-28.41612854,-26.72875671,-35.24794617,-30.70097656,-32.08206482,-22.85013733,-29.50747681,-38.79512329,-33.62967834,-34.69543152,-34.69543152,-18.17710571,-37.40449219
X Zygo ant edge bot DCUR L 4,-3.227091217,2.011689568,-8.728887177,-13.96987762,9.22045517,-4.774372101,-5.050083923,6.861698914,-6.328007507,4.371006012,-10.59205627,8.267410278,-1.566621304,-9.722783661,8.276357269,2.239151192,-8.3957901,-8.3957901,-3.855544662,-0.633465862
Y Zygo ant edge bot DCUR L 4,-1.909385109,-7.808248138,-7.447242737,-8.874473572,-6.584740448,-17.97154236,-0.73902998,-8.022171783,-9.536962891,-7.113297272,-0.126668048,-17.51266174,-6.708425903,-6.992377472,-0.779336643,-7.43818512,-7.443759918,-7.443759918,-13.55542297,-1.508969498
Z Zygo ant edge bot DCUR L 4,-25.86349792,-29.28056335,-30.20296631,-31.11087952,-25.7474823,-39.42523804,-25.86164551,-20.03523712,-24.8302536,-31.67019958,-28.22798767,-22.03882751,-19.64346313,-34.54219666,-33.20327148,-29.16346436,-30.33952942,-30.33952942,-17.06578369,-25.21790009
X Zygo ant edge bot DCUR L 3,1.990136147,2.470809555,-8.036315155,-14.61885071,10.04652328,-5.297589493,-4.324235535,7.266451263,-6.800263977,3.957307816,-10.43964005,6.919960022,-0.897675705,-9.38921051,9.130609894,2.615061188,-7.449716949,-7.449716949,-3.783567429,1.171655369
Y Zygo ant edge bot DCUR L 3,-1.609726143,-8.685987091,-7.121698761,-8.961381531,-6.949333954,-19.17890778,-0.541402054,-9.297595215,-9.278251648,-7.901290131,-0.097990131,-18.96570587,-6.548838043,-4.644818115,-1.19612608,-8.70361557,-7.404724121,-7.404724121,-13.67651367,-1.716054535
Z Zygo ant edge bot DCUR L 3,-28.40794373,-29.25138245,-31.39902649,-31.73879089,-25.8050293,-41.11863098,-26.71911316,-20.44278412,-25.71487427,-32.66075439,-28.54902954,-21.49642334,-20.4701416,-32.9571228,-34.46560364,-29.2448761,-31.32852783,-31.32852783,-17.72338715,-26.60104675
X Zygo ant edge bot DCUR L 2,2.074647713,2.952225685,-7.004575348,-15.15975952,10.74664154,-4.917437363,-3.426427078,7.071596527,-7.311909485,4.168257904,-10.10246048,5.193221664,-0.051712722,-9.348735809,10.59507217,2.990559196,-5.944688416,-5.944688416,-3.510136032,1.87559948
Y Zygo ant edge bot DCUR L 2,-1.642287445,-9.363116455,-6.803103638,-8.761663818,-7.398381042,-20.90731201,-0.359004736,-11.05383682,-9.181332397,-8.513932037,0.081205541,-20.06894531,-6.557081604,-4.001742554,-2.516882133,-9.389435577,-7.044796753,-7.044796753,-13.75208282,-1.772871399
Z Zygo ant edge bot DCUR L 2,-28.83980103,-29.15397034,-32.30618286,-32.92760315,-25.6723999,-42.28466187,-27.58624573,-20.93432922,-26.74143982,-33.57692871,-29.04407349,-21.43125458,-21.12010345,-32.37914124,-35.39772034,-29.22965393,-32.11371765,-32.11371765,-18.63225555,-28.07989502
X Zygo ant edge bot DCUR L 1,2.133343315,2.972163773,-5.36716423,-14.8111557,11.01777954,-3.762825012,-2.02188797,6.467922974,-7.108514404,3.909971619,-9.439154053,2.059468079,0.662554121,-9.413623047,11.44422531,2.875905418,-5.322574997,-5.322574997,-3.087852478,1.944903946
Y Zygo ant edge bot DCUR L 1,-1.664035225,-10.30002594,-7.493774414,-9.019992828,-8.071406555,-22.57705994,-1.655711937,-12.10083466,-9.419038391,-8.596448517,0.171458149,-20.78876343,-7.262923431,-3.5341465,-4.176709747,-10.51395264,-7.856899261,-7.856899261,-14.30180359,-1.792429924
Z Zygo ant edge bot DCUR L 1,-29.07961121,-29.22494812,-32.98418579,-34.06010437,-25.81928101,-42.57526245,-27.80336609,-21.8472702,-27.78144836,-34.21047363,-29.15029907,-22.17880249,-21.57950287,-31.12797241,-35.45411987,-29.26398926,-33.10744019,-33.10744019,-18.96618042,-29.10461121
X Zygo ant edge bot DCUR 4,-8.988192749,-0.192726731,-12.00545731,-10.90830154,5.06028595,-12.62808456,-10.39690323,2.184991074,-3.574485016,2.554249382,-12.70157394,15.9335434,-4.531353378,-7.001306152,-0.393094301,0.033536741,-12.02767563,-12.02767563,-6.382274628,-8.86598587
Y Zygo ant edge bot DCUR 4,-11.0343071,-7.647520447,-12.89257965,-13.71448364,-8.037078857,-19.567659,-6.706410217,-3.014846611,-16.42888947,-3.524298859,-3.924604797,-16.98373413,-10.79971085,-12.68913651,-5.799029541,-7.72647171,-12.8638031,-12.8638031,-16.48253632,-10.2859726
Z Zygo ant edge bot DCUR 4,-29.07301331,-33.00193176,-30.50351257,-29.8160553,-29.59267883,-29.04205017,-26.92037048,-24.95965118,-23.94487762,-32.11392212,-28.64081116,-32.65129395,-19.12512817,-31.9875885,-33.8126709,-33.06688843,-30.76743774,-30.76743774,-15.63907318,-28.79544373
X Zygo ant edge bot DCUR 3,-8.415316772,-0.074874294,-11.72002716,-11.11454697,5.196670532,-14.30585022,-10.34552994,1.929242897,-3.454380798,1.713465881,-12.62890625,15.72935944,-4.543053055,-6.395814514,0.165639305,0.187024951,-11.8726944,-11.8726944,-6.599860382,-7.501727295
Y Zygo ant edge bot DCUR 3,-11.949189,-7.920173645,-13.41366119,-14.59216461,-8.504852295,-21.17687225,-7.316918182,-3.76533699,-17.26914063,-3.444755554,-4.119200897,-18.57310791,-11.31465683,-12.11843185,-6.831602478,-8.356733704,-13.42684784,-13.42684784,-16.95932465,-12.88016357
Z Zygo ant edge bot DCUR 3,-29.84816895,-33.6467865,-31.737146,-30.68463135,-30.00336609,-29.23690186,-27.83726196,-26.3578125,-24.7629425,-33.22378235,-28.95112,-34.37724609,-19.8497406,-29.30854492,-35.59138794,-33.50017395,-31.90195923,-31.90195923,-16.20428314,-31.54459229
X Zygo ant edge bot DCUR 2,-6.318537521,-0.155006802,-11.65585632,-11.28923569,5.46740036,-15.07466583,-10.0653656,1.728408051,-3.294467926,1.595477962,-12.60439835,15.53739166,-4.592114639,-6.130891418,0.730158615,0.092996335,-11.47672729,-11.47672729,-6.683589935,-6.68172226
Y Zygo ant edge bot DCUR 2,-12.76907425,-9.442133331,-14.17158966,-15.45222626,-8.973881531,-22.92159424,-8.066507721,-4.249738312,-18.2675293,-3.03469944,-4.434200287,-19.25780182,-11.86059113,-11.9549118,-8.333507538,-9.114247894,-14.29358521,-14.29358521,-17.50770569,-12.79655075
Z Zygo ant edge bot DCUR 2,-33.51106873,-34.29170837,-32.41094666,-31.95046997,-30.58223267,-29.39360962,-28.47533875,-27.2151001,-25.524263,-34.08875427,-29.39412842,-35.44743958,-20.34867249,-28.26967468,-36.60445862,-33.93030701,-32.82625427,-32.82625427,-16.56047821,-33.05940552
X Zygo ant edge bot DCUR 1,-6.309358597,0.048655564,-10.27092133,-11.2115509,5.813263702,-14.65211334,-9.012973785,1.34450407,-3.572672272,0.685821009,-12.16572037,13.54690399,-3.783868027,-6.328384781,1.575606155,0.086261141,-10.27653809,-10.27653809,-6.333969116,-6.523517609
Y Zygo ant edge bot DCUR 1,-12.76220322,-9.964277649,-15.59855804,-15.32959442,-10.11663742,-25.25024567,-9.137453461,-4.738946152,-17.9098877,-3.127533913,-4.792058182,-20.4632782,-12.8207489,-11.47633591,-10.18584061,-10.08864746,-14.88556824,-14.88556824,-17.98969727,-12.66214676
Z Zygo ant edge bot DCUR 1,-33.52339172,-33.93095093,-33.43983154,-32.83482361,-30.87689819,-28.44012451,-28.71865234,-27.77008667,-26.65377197,-34.58727417,-29.77278137,-38.1733551,-21.07710876,-26.8585907,-36.77670898,-33.92339478,-33.53813171,-33.53813171,-16.89306641,-33.3284668
X Zygo & squamosal intersect L,14.77039337,-4.348104095,8.048899841,-2.785452461,7.941364288,23.89145813,9.582926941,-7.390323639,6.896172333,-5.074160767,-0.753769636,-23.21083374,12.89248505,-29.32522888,20.15112457,-4.871336365,8.055158234,8.055158234,5.560528564,14.97320709
Y Zygo & squamosal intersect L,-16.31180573,-14.53553467,-12.47808914,1.253681946,-16.8648819,-35.95396118,-9.334876251,-21.12624054,-1.308333111,-16.14533997,-2.856404114,-6.245847702,-11.84067535,-4.231859207,-16.28840027,-14.77090759,-12.43618698,-12.43618698,-16.80289612,-16.70357971
Z Zygo & squamosal intersect L,-10.00510406,-21.40410309,-23.59899902,-39.34037781,-16.380513,-25.59772186,-16.14338989,-12.43673096,-33.32410889,-26.85011292,-24.9533783,-37.93344116,-12.99287567,-27.98220215,-18.76147614,-21.24320831,-23.69844513,-23.69844513,-16.32637939,-9.528925323
X Zygo & squamosal intersect,1.865966034,-10.5882164,0.730375242,3.971951675,0.222202253,9.320032501,-0.857764626,-16.34109192,12.51999054,-10.97618103,-5.269286346,-11.45978394,4.327889633,-23.71596222,5.917863464,-10.78829346,0.671578741,0.671578741,0.333988953,2.211423111
Y Zygo & squamosal intersect,-31.34295959,-14.01723328,-26.35446167,-11.16922379,-20.07124176,-38.04284973,-21.45585327,-11.71542053,-14.70078278,-4.823167419,-11.52770233,-6.11999588,-22.67922058,-18.7741394,-25.17479553,-14.14058533,-26.36938477,-26.36938477,-24.10286407,-31.83027954
Z Zygo & squamosal intersect,-16.76313629,-31.52033081,-25.25146179,-36.95966492,-24.03398743,-8.986930084,-18.04081573,-22.79327087,-31.54837036,-27.99562073,-25.91645203,-55.27570801,-12.47588348,-19.31822357,-21.12210999,-31.37691345,-25.08967896,-25.08967896,-12.42997055,-16.0705246
X Tooth row DCUR L 5,-4.190058136,-1.730228043,-7.589758301,-9.548869324,5.829802704,1.865312767,-4.90282135,1.968419647,-1.095940971,1.945639992,-9.355974579,3.366235733,-0.162225473,-12.9769104,5.381594467,-1.762992287,-7.585987854,-7.585987854,-2.166060829,-3.978247833
Y Tooth row DCUR L 5,-4.766149521,-7.790479279,-10.06402283,-7.71102066,-7.672812653,-15.48295441,-3.860577011,-6.427310944,-9.044628143,-7.554098511,-2.005923271,-6.55174942,-8.601264954,-11.39946289,-2.599506378,-7.637734985,-9.960868835,-9.960868835,-14.84892426,-4.662264633
Z Tooth row DCUR L 5,-22.56191864,-27.95499878,-26.07344666,-29.85428772,-23.53842773,-30.50853882,-20.49964294,-17.13092346,-22.97088928,-28.73031311,-25.56875916,-28.27910156,-14.92857361,-35.91422729,-27.18384399,-27.84799194,-25.9983551,-25.9983551,-14.87003326,-22.38298798
X Tooth row DCUR L 4,-4.10865097,-1.170753193,-7.728103638,-10.22209091,6.124643707,1.715231705,-5.001494217,2.831671715,-1.570018673,2.539222908,-9.548213959,3.689050674,-0.195691419,-12.5421814,5.560342026,-1.016645908,-7.636834717,-7.636834717,-2.444802666,-3.948827744
Y Tooth row DCUR L 4,-4.186974335,-7.650104523,-9.497981262,-7.669543457,-7.492536926,-15.44510345,-3.146985817,-6.66411972,-8.857717133,-7.758343506,-1.482306671,-7.315485382,-8.077021027,-10.3509903,-1.618973732,-7.655977631,-9.192636871,-9.192636871,-14.34557037,-4.108435059
Z Tooth row DCUR L 4,-22.82192993,-27.95916748,-26.25111694,-29.65491333,-23.64963837,-30.74858093,-20.73194733,-17.50346832,-22.93117065,-29.11575623,-25.69116516,-27.39656677,-15.34877472,-36.06412964,-28.20880432,-27.99037476,-26.35913696,-26.35913696,-15.12970428,-22.62410126
X Tooth row DCUR L 3,-4.210754013,-2.292913055,-7.219211578,-8.897753143,5.500367737,2.595427132,-4.709514999,0.934196758,-0.4030972,1.348862457,-9.109501648,2.752007675,0.142864871,-14.53161469,5.460130692,-2.378004074,-7.18897934,-7.18897934,-1.825423241,-3.99257164
Y Tooth row DCUR L 3,-5.51085968,-8.073835754,-10.74022141,-7.470925903,-8.042060852,-15.74125519,-4.461676407,-6.649071503,-9.157024384,-7.566017914,-2.455224991,-5.912960815,-9.243560028,-12.74496918,-3.397951889,-7.918888855,-10.22791824,-10.22791824,-15.23735199,-5.253686905
Z Tooth row DCUR L 3,-22.20614777,-27.65730591,-25.70870972,-30.10074463,-23.48436127,-29.33514404,-20.11742706,-16.88706818,-23.08397217,-28.59389343,-25.45696716,-29.37150879,-14.3819931,-35.22183228,-26.46172791,-27.63796692,-25.1445816,-25.1445816,-14.62212219,-22.10785675
X Tooth row DCUR L 2,-2.248740005,-3.656565094,-4.725137329,-6.926609802,4.846579361,7.101260376,-3.07210598,-2.042825508,1.828806496,-0.436145258,-8.055233002,-1.664825249,1.730478859,-18.58804626,6.932375336,-3.675628662,-4.569954681,-4.569954681,-0.476837826,-2.24390583
Y Tooth row DCUR L 2,-8.032023621,-8.754237366,-12.23427048,-6.207757187,-9.255028534,-18.00645599,-5.828245544,-8.251916504,-8.294638062,-8.294300079,-3.096468925,-3.632820892,-10.14004593,-12.87685547,-6.475985718,-8.764868927,-12.24286346,-12.24286346,-15.869841,-7.91914978
Z Tooth row DCUR L 2,-18.82415314,-26.69247742,-23.88266907,-31.02741089,-22.3519165,-25.9479187,-18.71352081,-16.18641968,-23.59832916,-27.67648621,-24.68741302,-31.89573364,-12.95460205,-34.36921387,-23.34298096,-26.69967651,-23.70410461,-23.70410461,-13.98338013,-18.9437561
X Tooth row DCUR L 1,-1.510291767,-4.276453018,-3.334066391,-6.179690552,4.581015396,9.303079224,-2.259008026,-3.309448242,2.956008339,-1.161341095,-7.54908905,-3.35135498,2.561510468,-20.88043671,7.55098114,-4.292082596,-3.270160294,-3.270160294,0.112839687,-1.400601959
Y Tooth row DCUR L 1,-8.991230011,-8.964789581,-12.88598633,-5.568455887,-9.719973755,-18.87082214,-6.303865433,-8.843505096,-7.798845673,-8.772264099,-3.219713974,-2.558492279,-10.5290802,-12.82492828,-7.583203125,-9.002313995,-12.75267639,-12.75267639,-16.06745758,-8.49571991
Z Tooth row DCUR L 1,-17.21121216,-26.15405884,-23.11580963,-31.31950378,-21.71125336,-24.8432251,-17.95140533,-15.64677124,-23.97721863,-27.06847534,-24.37204132,-32.96547546,-12.10974503,-33.90201111,-21.92290039,-26.10748901,-22.99238434,-22.99238434,-13.7002182,-17.17252655
X Tooth row DCUR 5,-7.653234863,-2.95113945,-9.518726349,-8.034968567,3.403659439,-2.857979965,-7.811585236,-1.144102287,0.434332752,0.240562344,-10.49839783,6.934068298,-1.692389297,-12.26970596,1.874622917,-3.071423149,-9.328031921,-9.328031921,-3.518803024,-7.912138367
Y Tooth row DCUR 5,-9.404178619,-7.740270233,-13.22247467,-10.47283859,-8.615145111,-16.73362427,-7.291590881,-4.211022949,-12.88870239,-4.927667999,-4.401934814,-6.378686905,-11.28577499,-14.60792236,-5.341231918,-7.787660217,-13.09970245,-13.09970245,-16.81031952,-9.368370056
Z Tooth row DCUR 5,-24.20730591,-30.12368164,-26.19784851,-29.40412292,-25.7829834,-24.53188934,-20.82210083,-20.16822205,-22.73139954,-29.05473938,-25.70937195,-34.3900116,-14.69744263,-34.49458313,-27.49178467,-30.10652771,-26.14092712,-26.14092712,-13.8238678,-24.34279633
X Tooth row DCUR 4,-6.743621063,-3.765677643,-8.487413788,-7.278727722,3.293802643,-1.114809322,-7.065452576,-2.107536697,1.139161968,-0.319647717,-10.00474548,5.172716141,-0.993032551,-15.29019623,2.454083061,-3.84144249,-8.418431091,-8.418431091,-2.950484467,-7.262249756
Y Tooth row DCUR 4,-9.833082581,-8.139718628,-13.31477509,-9.606263733,-9.039461517,-17.01455536,-7.862654877,-4.932395172,-12.15549469,-5.487226486,-4.584414673,-5.195782852,-11.53011475,-14.50305786,-6.595900726,-8.169750977,-13.23657532,-13.23657532,-17.03046875,-9.938240814
Z Tooth row DCUR 4,-23.15841064,-29.6420166,-25.61171875,-30.06721191,-25.22174072,-24.42906342,-20.1553299,-19.71019745,-22.95512695,-28.68104858,-25.44721375,-35.37733459,-14.0953125,-33.90521545,-26.37244568,-29.55350952,-25.57176819,-25.57176819,-13.54368744,-23.3115448
X Tooth row DCUR 3,-6.009856796,-4.583184052,-6.821422577,-5.88775177,3.039445877,1.49092083,-6.459776306,-3.445663834,2.444464493,-1.184777927,-9.60524292,3.316630173,-0.405115318,-17.42421112,2.752851868,-4.603897858,-7.026943207,-7.026943207,-2.481895256,-6.499991608
Y Tooth row DCUR 3,-11.96285324,-8.426042175,-14.06531219,-9.25891037,-9.698157501,-18.056987,-8.710281372,-5.618201447,-11.81786118,-5.579513931,-5.004905319,-4.316220474,-12.19118958,-15.34595947,-7.499339294,-8.472557068,-14.4376709,-14.4376709,-17.52586517,-11.31822891
Z Tooth row DCUR 3,-21.12684479,-29.28964539,-24.54308929,-30.3672821,-24.58438721,-22.45273285,-19.61435394,-19.28385315,-23.21737823,-28.25594482,-25.13853302,-37.0090332,-13.34082947,-32.89538269,-24.28656769,-29.15077515,-24.52736664,-24.52736664,-13.29749756,-21.90154572
X Tooth row DCUR 2,-5.987865829,-5.05063858,-6.062511826,-5.284037018,2.811337471,2.838604546,-6.202058029,-4.304766464,3.179463387,-1.658939743,-9.231699371,2.35476799,0.135544157,-17.59694214,3.185933304,-5.059521866,-6.186595535,-6.186595535,-2.103561974,-6.173605728
Y Tooth row DCUR 2,-12.51246109,-8.630102539,-14.73011932,-9.071807861,-10.04321671,-18.71617432,-9.121742249,-5.948759079,-11.40737457,-5.835739899,-5.175875092,-3.417228317,-12.46412125,-15.41811523,-8.683389282,-8.602852631,-14.85311737,-14.85311737,-17.60600586,-12.50847473
Z Tooth row DCUR 2,-20.75498657,-28.87969055,-23.93712311,-30.54725647,-24.29513702,-21.48000641,-19.11743317,-18.98213959,-23.38076324,-27.84763489,-24.88009796,-37.87852783,-12.70868683,-32.82646484,-23.59270935,-28.89417725,-23.85917816,-23.85917816,-13.1001358,-20.97980957
X Tooth row DCUR 1,-5.754426575,-5.920018005,-5.043997192,-4.236841583,2.351639557,5.132233047,-5.569276047,-5.457861328,4.274662399,-2.51525631,-8.809679413,0.57391324,0.55651269,-19.42047577,3.896479797,-5.931547928,-5.091498947,-5.091498947,-1.579438972,-5.664228439
Y Tooth row DCUR 1,-14.03946075,-8.826586151,-15.68344116,-8.502145386,-10.66267471,-19.67586365,-9.824474335,-6.557392883,-11.03569031,-5.934247589,-5.601111221,-2.263363647,-13.09807281,-16.01866302,-9.98829422,-8.821396637,-15.75318451,-15.75318451,-17.93843689,-13.80699615
Z Tooth row DCUR 1,-19.3632431,-28.55284119,-23.0795105,-30.97225342,-23.75529175,-19.61974182,-18.33885498,-18.42254639,-23.55754547,-27.23930054,-24.61049957,-39.03459473,-11.99054031,-31.90541992,-22.32597504,-28.62933044,-23.03479309,-23.03479309,-12.71763611,-19.39937439
X PV pt post tympanic hook L,11.93567505,-6.828607178,8.914213562,-1.350313759,5.355993652,26.51485596,8.399597168,-8.641377258,8.975183105,-6.429790497,-0.880578327,-23.71894073,12.18439178,-32.42554626,18.71065063,-6.821389771,9.277715302,9.277715302,6.948509979,12.68994446
Y PV pt post tympanic hook L,-15.55619812,-14.12969666,-13.55569305,1.556561375,-15.75500031,-28.41333923,-8.875701141,-17.50890808,-0.497802877,-16.45777435,-4.239761353,0.978844833,-11.80211716,-6.282535172,-15.38551941,-14.50035095,-13.57056427,-13.57056427,-17.21510315,-16.23729858
Z PV pt post tympanic hook L,-5.318596268,-19.92732849,-20.53773193,-37.45791321,-14.39969482,-21.95739288,-13.04025116,-9.239090729,-29.42127075,-25.2829361,-23.0345459,-36.82218933,-10.33414917,-28.77756958,-15.11724396,-19.87423706,-20.76356812,-20.76356812,-14.7904068,-5.010057831
X PV pt post tympanic hook,-0.091347277,-12.67589035,0.475306797,5.067943954,-2.265943909,14.0159729,-1.006636524,-17.35085907,14.21247253,-11.99959946,-5.366952515,-10.66084518,3.929489136,-27.52068787,4.755124283,-12.80561371,1.341509438,1.341509438,1.293604755,-0.244313955
Y PV pt post tympanic hook,-30.11052856,-13.28014374,-26.47801514,-9.016490173,-17.87115479,-31.40502625,-21.17898254,-9.577482605,-12.8482132,-5.022718811,-11.53379822,1.369669342,-21.2661499,-20.73137817,-24.5921814,-13.71213074,-26.89162903,-26.89162903,-23.82606201,-32.09045105
